"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow"
"Amphichaetodon_howensis.png",4,1,0,0,1,1,0,0,0,1,0
"Amphichaetodon_melbae.png",4,1,0,0,1,1,0,0,0,1,0
"Chaetodon_adiergastos.png",5,1,0,0,0,1,1,0,0,1,1
"Chaetodon_argentatus.png",4,1,0,0,1,1,0,0,0,1,0
"Chaetodon_aureofasciatus.png",5,0,1,0,0,1,1,0,0,1,1
"Chaetodon_auriga.png",4,1,0,0,0,0,1,0,1,1,0
"Chaetodon_auripes.png",5,1,0,0,1,1,1,0,0,0,1
"Chaetodon_austriacus.png",5,1,1,0,0,1,1,0,0,0,1
"Chaetodon_baronessa.png",5,1,1,0,1,1,0,0,0,0,1
"Chaetodon_bennetti.png",3,1,0,0,0,0,1,0,0,0,1
"Chaetodon_blackburnii.png",5,1,0,0,1,0,1,0,0,1,1
"Chaetodon_burgessi.png",5,1,1,0,1,1,0,0,0,1,0
"Chaetodon_capistratus.png",5,0,1,0,1,1,0,0,0,1,1
"Chaetodon_citrinellus.png",1,0,0,0,0,0,1,0,0,0,0
"Chaetodon_collare.png",3,1,0,0,1,1,0,0,0,0,0
"Chaetodon_decussatus.png",4,1,0,0,0,1,1,0,0,1,0
"Chaetodon_dolosus.png",5,1,0,0,0,1,1,0,0,1,1
"Chaetodon_ephippium.png",5,1,1,0,0,1,1,0,0,1,0
"Chaetodon_falcula.png",5,1,1,0,0,1,1,0,0,1,0
"Chaetodon_fasciatus.png",3,1,0,0,0,0,1,0,0,0,1
"Chaetodon_flavirostris.png",4,1,1,0,0,1,1,0,0,0,0
"Chaetodon_fremblii.png",5,1,0,0,0,1,1,0,0,1,1
"Chaetodon_guentheri.png",5,1,0,0,0,1,1,0,0,1,1
"Chaetodon_guttatissimus.png",3,0,1,0,0,1,0,0,0,1,0
"Chaetodon_hoefleri.png",5,1,1,0,1,0,0,0,0,1,1
"Chaetodon_humeralis.png",3,0,1,0,0,1,0,0,0,1,0
"Chaetodon_interruptus.png",4,1,1,0,1,0,0,0,0,0,1
"Chaetodon_kleinii.png",6,0,1,0,1,1,1,0,0,1,1
"Chaetodon_larvatus.png",3,1,1,0,0,1,0,0,0,0,0
"Chaetodon_lineolatus.png",5,1,0,0,1,1,0,0,0,1,1
"Chaetodon_lunula.png",2,0,0,0,0,0,1,0,0,0,1
"Chaetodon_lunulatus.png",3,1,0,0,0,0,1,0,1,0,0
"Chaetodon_madagaskariensis.png",4,0,1,0,0,1,1,0,0,1,0
"Chaetodon_melannotus.png",6,1,1,0,0,1,1,0,0,1,1
"Chaetodon_mertensii.png",5,1,1,0,0,1,1,0,0,1,0
