img,k,black,blue,brown,green,grey,orange,purple,red,white,yellow
Amphichaetodon_howensis.png,3,1,0,0,0,0,0,0,0,1,1
Amphichaetodon_melbae.png,2,1,0,0,0,0,0,0,0,1,0
Chaetodon_adiergastos.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_argentatus.png,3,1,0,0,0,1,0,0,0,1,0
Chaetodon_aureofasciatus.png,4,0,0,1,0,1,0,0,0,1,1
Chaetodon_auriga.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_auripes.png,4,1,0,1,0,0,0,0,0,1,1
Chaetodon_austriacus.png,4,1,0,0,0,1,0,0,0,1,1
Chaetodon_baronessa.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_bennetti.png,4,1,0,1,0,0,0,0,0,1,1
Chaetodon_blackburnii.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_burgessi.png,4,1,0,0,0,1,0,0,0,1,1
Chaetodon_capistratus.png,4,1,0,0,0,1,0,0,0,1,1
Chaetodon_citrinellus.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_collare.png,6,1,0,1,1,1,0,0,0,1,1
Chaetodon_decussatus.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_dolosus.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_ephippium.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_falcula.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_fasciatus.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_flavirostris.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_fremblii.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_guentheri.png,4,1,0,0,0,1,0,0,0,1,1
Chaetodon_guttatissimus.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_hoefleri.png,7,1,0,1,1,1,1,0,0,1,1
Chaetodon_humeralis.png,5,1,1,1,0,1,0,0,0,1,0
Chaetodon_interruptus.png,4,1,1,0,1,0,0,0,0,0,1
Chaetodon_kleinii.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_larvatus.png,4,1,0,0,0,1,0,0,0,1,1
Chaetodon_lineolatus.png,5,1,0,1,0,1,0,0,0,1,1
Chaetodon_lunula.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_lunulatus.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_madagaskariensis.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_melannotus.png,6,1,0,1,0,1,1,0,0,1,1
Chaetodon_mertensii.png,4,1,0,0,0,1,0,0,0,1,1
