"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow","method"
"Amphichaetodon_howensis.png",3,1,0,0,0,0,0,0,0,1,1,"human"
"Amphichaetodon_melbae.png",2,1,0,0,0,0,0,0,0,1,0,"human"
"Chaetodon_adiergastos.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_argentatus.png",3,1,0,0,0,1,0,0,0,1,0,"human"
"Chaetodon_aureofasciatus.png",4,0,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_auriga.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_auripes.png",4,1,0,1,0,0,0,0,0,1,1,"human"
"Chaetodon_austriacus.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_baronessa.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_bennetti.png",4,1,0,1,0,0,0,0,0,1,1,"human"
"Chaetodon_blackburnii.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_burgessi.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_capistratus.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_citrinellus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_collare.png",6,1,0,1,1,1,0,0,0,1,1,"human"
"Chaetodon_decussatus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_dolosus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_ephippium.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_falcula.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_fasciatus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_flavirostris.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_fremblii.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_guentheri.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_guttatissimus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_hoefleri.png",7,1,0,1,1,1,1,0,0,1,1,"human"
"Chaetodon_humeralis.png",5,1,1,1,0,1,0,0,0,1,0,"human"
"Chaetodon_interruptus.png",4,1,1,0,1,0,0,0,0,0,1,"human"
"Chaetodon_kleinii.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_larvatus.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_lineolatus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_lunula.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_lunulatus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_madagaskariensis.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_melannotus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_mertensii.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_mesoleucos.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_meyeri.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_miliaris.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_multicinctus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_ocellatus.png",6,1,1,0,1,1,0,0,0,1,1,"human"
"Chaetodon_ocellicaudus.png",5,1,0,1,0,0,1,0,0,1,1,"human"
"Chaetodon_octofasciatus.png",4,1,0,1,0,1,0,0,0,1,0,"human"
"Chaetodon_ornatissimus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_oxycephalus.png",8,1,1,1,1,1,1,0,0,1,1,"human"
"Chaetodon_paucifasciatus.png",4,1,0,1,0,1,0,0,0,0,1,"human"
"Chaetodon_pelewensis.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Chaetodon_plebeius.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_punctatofasciatus.png",7,1,0,1,0,1,1,0,1,1,1,"human"
"Chaetodon_quadrimaculatus.png",6,1,0,1,1,1,0,0,0,1,1,"human"
"Chaetodon_rafflesii.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_rainfordi.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_reticulatus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_robustus.png",7,1,1,1,0,1,1,0,0,1,1,"human"
"Chaetodon_sanctaehelenae.png",6,1,1,1,0,1,1,0,0,0,1,"human"
"Chaetodon_sedentarius.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_selene.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_semeion.png",5,1,0,1,0,1,0,0,0,1,1,"human"
