"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow","method"
"Tangara_arthus_LACM59610.png",3,1,0,1,0,0,0,0,0,0,1,"human"
"Tangara_cayana_LACM39216.png",3,1,1,1,0,0,0,0,0,0,0,"human"
"Tangara_chilensis_LACM59272.png",3,1,1,0,1,0,0,0,0,0,0,"human"
"Tangara_cyanocephala_LACM59652.png",5,1,1,0,1,0,0,0,1,0,1,"human"
"Tangara_cyanoptera_LACM37716.png",4,1,1,1,0,0,0,0,0,0,1,"human"
"Tangara_cyanoventris_LACM27866.png",4,1,1,0,1,0,0,0,0,0,1,"human"
"Tangara_dowii_LACM16290.png",4,1,1,1,1,0,0,0,0,0,0,"human"
"Tangara_fastuosa_LACM60421.png",5,1,1,0,1,0,1,1,0,0,0,"human"
"Tangara_guttata_LACM4843.png",6,1,1,1,1,0,0,0,0,1,1,"human"
"Tangara_gyrola_LACM43661.png",4,0,1,1,1,0,0,0,0,0,1,"human"
"Tangara_heinei_LACM29385.png",4,1,1,0,1,1,0,0,0,0,0,"human"
"Tangara_inornata_LACM30414.png",3,1,1,0,0,1,0,0,0,0,0,"human"
"Tangara_johannae_LACM37463.png",6,1,1,1,1,1,0,0,0,0,1,"human"
"Tangara_labradorides_LACM59124.png",6,1,1,1,1,1,0,0,0,0,1,"human"
"Tangara_larvata_LACM4843.png",4,1,1,0,0,0,0,0,0,1,1,"human"
"Tangara_mexicana_LACM32721.png",4,1,1,0,0,0,0,0,0,1,1,"human"
"Tangara_palmeri_LACM37481.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Tangara_parzudakii_LACM29400.png",6,1,1,1,1,0,0,0,1,0,1,"human"
"Tangara_preciosa_LACM53462.png",5,1,1,1,1,0,0,0,0,1,0,"human"
"Tangara_punctata_LACM43658.png",5,1,1,0,1,0,0,0,0,1,1,"human"
"Tangara_ruficervix_LACM34880.png",4,1,1,1,0,0,0,0,0,1,0,"human"
"Tangara_rufigula_LACM16611.png",4,1,0,1,1,0,0,0,0,0,1,"human"
"Tangara_schrankii_LACM50757.png",4,1,0,1,1,0,0,0,0,0,1,"human"
"Tangara_seledon_LACM53515.png",6,1,1,1,1,0,1,0,0,0,1,"human"
"Tangara_vassorii_LACM29453.png",3,1,1,1,0,0,0,0,0,0,0,"human"
"Tangara_velia_LACM43655.png",5,1,1,1,0,0,0,1,0,0,1,"human"
"Tangara_vitriolina_LACM36850.png",3,1,0,1,1,0,0,0,0,0,0,"human"
"Tangara_arthus_LACM59610.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Tangara_cayana_LACM39216.png",5,1,1,0,1,1,1,0,0,0,0,"charisma"
"Tangara_chilensis_LACM59272.png",3,1,1,0,1,0,0,0,0,0,0,"charisma"
"Tangara_cyanocephala_LACM59652.png",4,1,1,0,1,0,1,0,0,0,0,"charisma"
"Tangara_cyanoptera_LACM37716.png",6,1,1,0,1,1,1,0,0,0,1,"charisma"
"Tangara_cyanoventris_LACM27866.png",4,1,1,0,1,0,1,0,0,0,0,"charisma"
"Tangara_dowii_LACM16290.png",5,1,1,0,1,1,1,0,0,0,0,"charisma"
"Tangara_fastuosa_LACM60421.png",4,1,1,0,1,1,0,0,0,0,0,"charisma"
"Tangara_guttata_LACM4843.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Tangara_gyrola_LACM43661.png",2,0,1,0,1,0,0,0,0,0,0,"charisma"
"Tangara_heinei_LACM29385.png",4,1,1,0,1,1,0,0,0,0,0,"charisma"
"Tangara_inornata_LACM30414.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Tangara_johannae_LACM37463.png",4,1,1,0,1,0,0,0,0,0,1,"charisma"
"Tangara_labradorides_LACM59124.png",5,1,1,0,1,1,0,0,0,0,1,"charisma"
"Tangara_larvata_LACM4843.png",6,1,1,0,1,1,0,0,0,1,1,"charisma"
"Tangara_mexicana_LACM32721.png",4,1,1,0,0,1,0,0,0,1,0,"charisma"
"Tangara_palmeri_LACM37481.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Tangara_parzudakii_LACM29400.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Tangara_preciosa_LACM53462.png",5,1,1,0,1,1,1,0,0,0,0,"charisma"
"Tangara_punctata_LACM43658.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Tangara_ruficervix_LACM34880.png",2,0,1,0,0,1,0,0,0,0,0,"charisma"
"Tangara_rufigula_LACM16611.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Tangara_schrankii_LACM50757.png",3,1,0,0,1,0,0,0,0,0,1,"charisma"
"Tangara_seledon_LACM53515.png",3,1,1,0,1,0,0,0,0,0,0,"charisma"
"Tangara_vassorii_LACM29453.png",2,1,1,0,0,0,0,0,0,0,0,"charisma"
"Tangara_velia_LACM43655.png",3,1,1,0,0,1,0,0,0,0,0,"charisma"
"Tangara_vitriolina_LACM36850.png",3,1,0,0,1,0,1,0,0,0,0,"charisma"
